Date;RhinosAtSighting;Sex;Horn;DateBorn;Reserve
31.03.2019;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
17.03.2015;MPGRBF-02-05;Female;Horned;01.01.1998;Reserve1
06.02.2016;MPGRBF-02-05;Female;Horned;01.01.1998;Reserve1
20.06.2018;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
02.01.2018;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
12.12.2013;MPGRBF-02-05;Female;Horned;01.01.1998;Reserve1
05.08.2018;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
01.01.2018;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
07.08.2018;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
24.11.2017;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
08.04.2018;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
11.03.2014;MPGRBF-02-05;Female;Horned;01.01.1998;Reserve1
26.08.2014;MPGRBF-02-05;Female;Horned;01.01.1998;Reserve1
22.02.2018;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
30.11.2016;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
21.03.2018;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
28.07.2016;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
01.03.2016;MPGRBF-02-05;Female;Horned;01.01.1998;Reserve1
24.02.2015;MPGRBF-02-05;Female;Horned;01.01.1998;Reserve1
24.06.2018;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
19.06.2016;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
02.12.2018;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
12.02.2013;MPGRBF-02-05;Female;Horned;01.01.1998;Reserve1
29.06.2015;MPGRBF-02-05;Female;Horned;01.01.1998;Reserve1
20.01.2017;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
03.05.2013;MPGRBF-02-05;Female;Horned;01.01.1998;Reserve1
23.02.2017;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
28.05.2019;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
16.10.2018;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
12.04.2016;MPGRBF-02-05;Female;Horned;01.01.1998;Reserve1
30.01.2017;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
29.03.2017;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
29.12.2016;MPGRBF-02-05;Female;Dehorned;01.01.1998;Reserve1
10.05.2016;MPGRBF-02-05;Female;Horned;01.01.1998;Reserve1
19.12.2015;MPGRBF-02-05;Female;Horned;01.01.1998;Reserve1
01.06.2014;MPGRBF-02-05;Female;Horned;01.01.1998;Reserve1
